"title","course_description","expected_hours","Skills"
"understanding australian health care system"," course will enable understand workings australian health care system following footsteps patient journeys will gain experiential understanding multi layered system operates context geographic social cultural landscapes australia successfully navigate within system course will enable answer questions will engage many activities throughout course explore questions completion course able ",13.5,"system, multi, V349, health care"
"age sustainable development","sustainable development urgent challenge facing humanity fundamental question can world economy continue develop way socially inclusive environmentally sustainable course provides broad overview interactions economy environment humanity constraints finite resources activities drive climate change equality course updated version professor sachs popular 2015 course name includes new perspectives reorientation towards agenda 2030 sdgs join us introduction tenets sustainable development developed experts latest social policy physical sciences course ",70,"development, can, V349, develop"
"internationalization creating digital content world","want learn create digital product truly ready world one can released many markets different languages without alterations code course shows everything developer pm needs know keep mind working software websites will consumed across different markets course introduction internationalization process developing core digital product whose features design solely based single language locale will learn cater different writing systems regional formats even directionality scripts like arabic one will also learn design requirements around localizability need met can even start translating product languages will get glimpse challenges creating products donâ t offend foreign markets culturally politically insensitive course will show needs done ensure best user experience international markets even localizing ",14,"software, systems, scripts, design, t, developer, can, V349, pm, user experience, digital, requirements, based"
"multi object tracking automotive systems","autonomous vehicles self driving cars rely critically accurate perception environment course will teach fundamentals multi object tracking automotive systems key components include description understanding common sensors motion models principles underlying filters can handle varying number objects selection main multi object tracking mot filters course builds expands concepts ideas introduced chm013x sensor fusion nonlinear filtering automotive systems particular study localize unknown number objects implies various interesting challenges focus cameras laser scanners radar sensors commonly used vehicles emphasize situations seek track nearby pedestrians vehicles still involved methods general can used surveillance track e g biological cells sports athletes space debris course contains series videos quizzes hands assignments get implement several important algorithms learn award winning passionate teachers enhanceyour knowledge forefront research self driving vehicles chalmers among top engineering schools distinguish close collaboration industry ",150,"systems, engineering, algorithms, automotive, research, e, multi, can, V349, collaboration, object, hands, focus, surveillance"
"economics policies biobased economy","â order produce food sustainable way additional 2 billion people 2050 business usual approach will sufficient especially true face climate change forces threatening natural resources like biodiversity land water essential food production agriculture including forestry fisheries meet challenges science application biotechnologies well conventional technologies will play key role â faoare responsible dealing economics policies governing transition implementation biobased products resources join course economics policies biobased economy discover whole value chain research development application processing retailing final demand learn value chain rents distribution along chain affected policies examples benefits costs developing cultivating marketing genetically modified organisms gmos will discussed extensively upgrade knowledge recent trends circular economy sustainable business know measure adoption environmental benefits learn benefits costs distribution sustainable products market power approval processes supply chain guiding policies current social debate join micromasters programme course part micromasters programme economics policies circular bio economya series 3 courses final capstone project designed help cover economic policy side converting biological resources biobased products will able contribute managerial decision making well policy development explore courses micromasters programme might also like micromasters business operations circular bio economy ",64,"development, application, project, implementation, research, supply chain, V349, policies, operations, production, environmental, 3, business, distribution, 2, business operations, economics"
"strategic leadership healthcare"," course part healthcare administration micromasters program consists 7 courses capstone exam completing program can also apply doane university complete mba online approximately 10 500 learn program leading organizational change can challenge anyone large heavily regulated environment healthcare without theproper tools develop coach mentor employees recipe failure dynamic environments call skilled strong leaders guide way develop successful functional teams learn foundational skills critical leaders including communication skills coaching mentoring negotiation motivation theory course will also explore team development facilitation collaboration assess personal style leadership learning strengths areas improvement course will also focus practical strategic thinking practices leadership theories leadership style development leadership style can used think act strategically ",37.5,"development, communication, leadership, healthcare, can, V349, functional, administration, collaboration, organizational, 7, act, develop, 10, focus, tools"
"terrorism counterterrorism introduction","terrorism gone persistent yet marginal security concern one important security problems day countries suffer form terrorism though many attempts terrorism fail groups wage lengthy bloody campaigns exceptional cases kill hundreds even thousands pursuit ends course terrorism will explore nuances involved defining terrorism nature al qaeda islamic state important groups effectiveness different counterterrorism tools terrorist recruiting counterterrorism rule law political context middle east terrorist use technology interested extended version course full 7 section course terrorism counterterrorism available ",27,"security, V349, full, 7, technology, tools"
"exploring psychology s core concepts|è è å ç å "," course provides introduction basic concepts form foundation field psychology topics include history psychology biological bases behavior sensation perception consciousness learning memory life span development class lectures emphasize empirical approach scientific understanding human behavior across domains addition learning basic content information psychology students will learn psychologists ask questions evaluate evidence communicate å ç å æ ç ä ç ÿæ ä ä ä æ å¹ æ³ æ å ç ä é ï æ è æ ç ÿæ ä ç è é ÿä è ï è æ å ä ä ç ä ä å ä ï é ç ä å å ç å ï é é è å ç å ç çÿ è å å å ã ä ç æ ä å è ï ç è è æ ä¹ è ã ç ÿå è æ ä¹ è ã æ è è æ ä¹ è ï å ç å å æ æ ç å ³ä æ è è æ ä¹ è ç ç å ã å ç å ç ç é åÿÿä å è å¹ æ³ ï ä ä è å å ç æ ä å ï æ ä ä å ç ÿé å è ä ä æ å è å æ ÿå è ç é åÿÿã æ è ç ä è çÿ ã å ä¹ ã æ æ ÿã ä é ã å å ã è ä ä å ä é ä ç å ç å çÿ è ï ä å ç å ç ÿä å æ ç è æ ã è è ç ä ä æ è ä ç ÿç å æ ã ",24,"development, foundation, basic, V349, scientific"
"creating virtual reality vr apps","build professional vr apps using unity 3d powerful cross platform 3d engine provides user friendly development environment course part virtual reality professional certificate program will learn build vr engine ground fully understand entire rendering pipeline 3d model pixels vr display will also cover motion prediction 3d stereo lens distortion time warp optimizations fluid realistic vr experience will also learn implement important vr interaction concepts selection manipulation travel wayfinding menus text input unity unity gui based programming environment much programming can done dialog windows also supports scripts written c will show will allow complex vr functionality learn vr programming course will help write vr games architectural walkthroughs engineering simulations 3d data viewers medical training applications many ",36,"development, windows, c, engineering, scripts, applications, data, programming, can, V349, gui, 3d, cross, build, unity, medical, based, training"
"anã lisis multivariable en spss","las decisiones hoy dã se realizan considerando mã ltiples variables en forma simultã nea para ello debemos analizar conjuntos de datos multivariantes medidos simultã neamente para cada individuo u objeto estudiado en este curso online de anã lisis de datos y estadã sticas ",22.5,"V349"
"steps japanese beginners2 part1"," exchange students andy gets know people opportunities use small talk talk people also finds language uses friends polite language expression needs talk strangers older people different andy s seminar classmate saori falls love andy s dorm mate mr ono ã make small talk ã understand know use casual speech ã express wishes ã describe people",20,"exchange, V349, s"
"competencias para buscar mantener y promocionar en un empleo","el objetivo de este curso online es mejorar la inclusiã³n laboral travã s de una serie de mã³dulos de aprendizaje de distintas competencias aquellas relacionadas la orientaciã³n vocacional las habilidades sociales y comunicativas las habilidades emocionales o la reflexiã³n sobre el proyecto de vida laboral te serã de utilidad para mejorar tus posibilidades de acceso permanencia y promociã³n en cualquier tipo de empleo puesto que las competencias que se trabajan son vã lidas prã cticamente para cualquier perfil profesional este curso tiene un carã cter prã ctico y estã diseã ado para que sea accesible personas con discapacidad intelectual u otros colectivos que requieran apoyos para la inclusiã³n laboral incluye videos actividades textos o esquemas con el propã³sito de que suponga una oportunidad para mejorar tu formaciã³n laboral ",16,"V349, s"
"dynamics control"," interactive course basic concepts systems control impact human activities first basic concepts systems dynamics structure control introduced looking many examples nature human made devices will realize dynamic behavior systems can modified adding control system later will see knowing evaluate dynamic behavior system measure performance will provide tools design new controlled systems fulfilling requirements considering benefits control challenges future will open mind tackle new applications develop new scenarios micro systems level common systems whole universe overview techniques available deeper introduction subject will presented end control technology said hidden technology notice normal operation appears failure happens looking around nature human made devices realize behavior presents analogies can manipulate temporal evolution characterizing dynamic behavior systems possibility change introducing control devices main aim course will learn analyze dynamic properties system options change behavior according requirements will learn basic concepts undertake studies control engineering use variety disciplines human social sciences engineering field characterizing dynamic behavior systems possibility change introducing control devices main aim course will ",27,"systems, system, engineering, applications, performance, design, basic, can, micro, V349, end, develop, requirements, technology, impact, tools"
"finding cybersecurity career path"," course will focus pathways cybersecurity career success will determine incoming skills talent deep interests apply toward meaningful informed exploration 32 digital pathways cybersecurity will complete self assessment comprised elements needed determine essential next steps career path end course will able ",21,"V349, cybersecurity, end, digital, next, focus"
"introducciã³n la caligrafã y paleografã en archivos hispanos medievales y modernos","â desea comprender el contexto histã³rico de las culturas medievales hispã nicas que crearon documentos como forma de comunicaciã³n manuscrita â le interesa alcanzar unas competencias profesionales para leer y escribir tipos histã³ricos de letra â cã³mo comprender y poner en prã ctica los fundamentos de la caligrafã histã³rica y las reglas de paleografã utilizando tã cnicas materiales herramientas originales mã todos y principios este curso refleja un interã s basado en los mã todos colaborativos de aprendizaje que contextualizan las habilidades de lectura y escritura de los manuscritos medievales y modernos se inscribe dentro de los postulados de las humanidades digitales y busca la combinaciã³n de caligrafã y paleografã esta integraciã³n activa proporciona un conocimiento de calidad superior la mera reproducciã³n aislada de letras o la mera transcripciã³n paleogrã fica de los documentos se aprenderã caligrafã mientras se aprende paleografã y viceversa ambas disciplinas se juntan en este curso de forma sinã rgica para hacer de este curso una respuesta formativa adecuada al estudio de la cultura manuscrita medieval y moderna este mooc estã especialmente orientado profesionales de archivos y responsables de conservaciã³n y gestiã³n de fondo antiguo dentro del patrimonio histã³rico documental estos expertos requieren un aprendizaje paleogrã fico esencial para poder alcanzar los objetivos de su trabajo con testimonios de la herencia cultural manuscrita el curso estã tambiã n pensado para calã grafos profesionales y para estudiantes de grado y posgrado con interã s activo por la cultura manuscrita hispana desde el siglo ix hasta el xviii ",21,"V349, s"
"mechanics rotational dynamics"," course third series four modules cover calculus based mechanics will explore rotational motion learn concepts torque angular momentum will learn conservation angular momentum use conservation laws solve complex problems rotational dynamics modules based material mit s physics required mit undergraduates offered xseries edx please visit introductory mechanics xseries program page learn enroll four modules understand material course taken mechanics kinematics dynamics mechanics momentum energy ",132,"angular, V349, physics, s, based, energy"
"applying health coaching patient care"," health practitioners knowledge treatment protocols enough must able inspire behavior change patients order treatment effective patients must empowered implement therapeutic approaches lives course will learn health coaching effective method helping patients change behaviors health coaching uses blend evidence based strategies interventions communication actively safely engage patients will learn core components health coaching can applied patient care positive psychology motivation establishing trust goal setting â recognize health wellness coaching important â demonstrate effectively motivate coach patients â identify health coaching process establishing trust setting goals conducting coaching session ",22.5,"communication, protocols, can, V349, based"
"databases modeling theory"," database series courses databases one stanford s three inaugural massive open online courses fall 2011 offered synchronous self paced versions variety platforms continuously since 2011 material now offered set five self paced courses can taken variety ways learn different aspects databases relational databases sql popular course databases series applicable learners seeking gain strong understanding relational databases master sql long accepted standard query language relational database systems additional courses focus advanced concepts relational databases sql formal foundations database design methodologies semistructured data courses based around video lectures demos many include quizzes video segments check understanding depth standalone quizzes variety automatically checked interactive exercises course also includes unmoderated discussion forum pointers readings resources courses described briefly taught professor jennifer widom overall curriculum draws stanford s popular longstanding databases course learn databasesdatabases incredibly prevalent underlie technology used people every day every hour databases reside behind huge number websites re crucial component telecommunications systems banking systems video games just software system electronic device maintains amount persistent information addition persistence database systems provide number properties make exceptionally useful convenient reliability efficiency scalability concurrency control data abstractions high level query languages databases ubiquitous important computer science graduates frequently cite database class one useful industry graduate school careers stanford s online offering databases now available set five self paced courses databases relational databases sqldatabases advanced topics sql prerequisite relational databases sql databases olap recursiondatabases modeling theorydatabases semistructured data",18,"software, systems, database, system, computer, computer science, design, video, data, telecommunications, can, database design, olap, V349, relational database, relational databases, modeling, s, databases, focus, scalability, technology, based, high"
"islamic banking principles practice risk management","islamic banking also referred islamic finance overarching framework sharia islamic law guides activities muslim corporations banks lending institutions raise capital frameworkalso describes forms investment permitted law islamic banking stands apart conventional banking four key areas strict prohibition charging receivinginterest adherence ethical standards investments focus investments moral social values core structure shared risk course islamic banking starts overview fundamentals islamic financial intermediation basics analytical framework used monitor manage risks confronting islamic financial institutions including credit risk liquidity risk market risk operational risk fundamentals islamic financial intermediation framework risk analysis islamic banks credit risks assets management manage nonperforming assets",18,"management, analysis, analytical, finance, V349, framework, risk, financial, focus, forms"
"liderazgo orientado al florecimiento humano","nos encontramos ante una crisis de liderazgo mundial debido entre otros factores al contexto volã til incierto complejo y ambigã o en el que vivimos el mundo requiere lã deres conscientes de sã mismos y de su entorno inmersos en un proceso de aprendizaje permanente comprometidos resilientes con una visiã³n positiva del presente y del futuro que encuentran significado en su misiã³n de vida y que se desarrollan personal al desarrollo de los demã s este curso de liderazgo darã las herramientas necesarias para desarrollar un liderazgo orientando al desarrollo personal y profesional entregando las habilidades que necesita el lã der moderno el liderazgo organizacional y la motivaciã³n que los lã deresproduzcan en sus empleados son parte fundamental del ã xito de las organizaciones este curso en lã nea entrega las herramientas para que los lideres se puedan desarrollar profesionalmente dentro de una organizaciã³n impactando de manera positiva el comportamiento organizacional ",26,"V349, s"
"software construction object oriented design"," course part software development micromasters program will dig deep principles object oriented design introduce new abstraction techniques design patterns will use techniques build application makes use popular online services apis â complex software design project far end course will solid foundation java object oriented design well many software development concepts can applied language learners enroll verified track will receive staff grading course project increased interaction instructors staff ",54,"java, development, software, application, software development, project, design, foundation, can, V349, apis, design patterns, object oriented design, end, object, software design, build, solid"
"introduction hyperledger sovereign identity blockchain solutions indy aries ursa"," surprise absolutely one trust broken internet wherever go online advice make sure understand s behind button click course ll dive three hyperledger open source projects indy aries ursa looking tools libraries reusable components provide creating using independent digital identities rooted blockchains distributed ledgers will explore possibilities offer building applications solid digital foundation trust examine technologies can make internet safe s quite challenge course addressed wide ranging audience walking line business technology ",17.5,"applications, foundation, can, libraries, V349, open source, go, solid, digital, business, internet, s, technology, tools"
"fondements de lâ ã conomie sociale et solidaire","quel est le point commun entre un repair cafã une coopã rative maraã chã re en circuit court une entreprise dâ insertion par le travail une banque sociale un cafã citoyen ces initiatives relã vent toutes du â troisiã secteur â qui se distingue du secteur privã de type capitaliste comme du secteur public par leurs dynamiques entrepreneuriales ces organisations dã frichent de nouvelles activitã s porteuses de sens par leurs valeurs â finalitã de service gestion dã mocratique autonomie solidaritã â elles inspirent confiance aux citoyens comme aux pouvoirs publics qui leur confient de multiples missions dâ intã rã t gã nã ral ce secteur reprã sente jusquâ ã 15 de lâ emploi salariã et des millions de volontaires en offrant une analyse rigoureuse de lâ ã conomie sociale et solidaire et des entreprises sociales qui se multiplient dans le monde entier ce cours en ligne fournit les outils dâ une comprã hension en profondeur de ces formes dâ entreprise diffã rentes et prouve ã quel point nos sociã tã s ont besoin dâ une ã conomie plurielle ce cours analyse les concepts â coupoles â censã s rassembler et nommer lâ ensemble ou lâ essentiel du troisiã secteur ã conomie sociale ã conomie solidaire et dâ autre part les formes dâ organisation coopã ratives associations entreprises sociales considã rã es comme composantes centrales de ce troisiã secteur loin dâ opposer ces concepts entre eux la dã marche consiste plutã t ã expliquer pour chacun dâ eux ses racines historiques et le contexte institutionnel au sein duquel il ã mergã et ã dã gager son potentiel analytique pour ã clairer les dynamiques de ce troisiã secteur l objectif du cours n est pas de proposer une thã orie unifiã e du â troisiã secteur â mais d analyser en profondeur ces diffã rents ã clairages grã ce aux contributions de lâ ã quipe pã dagogique et dâ intervenants extã rieurs pionniers dans ce domaine jacques defourny laurent gardin jean louis laville margie mendellâ vous serez invitã e ã considã rer chacun de ces concepts comme une source originale dâ ã clairage que vous pouvez mobiliser seul e ou avec dâ autres en connaissant ses apports et ses limites ses couleurs et ses angles particuliers au terme de ce cours vous serez capable de ",30,"t, e, V349, s, circuit, repair"
" civil war reconstruction 1861 1865 new birth freedom"," new birthof freedom civil war 1861 1865 narrates history american civil war examines individual engagements overall nature military conflict focus less battlefield political social economic change union confederacy central account road emancipation role black soldiers nature abraham lincolnâ s wartime leadership internal dissent north south changing position women societies warâ s long term economic intellectual impact end look beginnings reconstruction conflict course part xseries civil war reconstruction introduces students pivotal era american history civil war transformed nation eliminating threat secession destroying institution slavery raised questions remain central understanding people nation â balance power local national authority boundaries citizenship meanings freedom equality xseries will examine causes war road secession conduct civil war coming emancipation struggle war breathe meaning promise freedom four million emancipated slaves one theme throughout series might called politics history â world historian lives affects view past historical interpretations reinforce challenge social order present ",84,"leadership, V349, less, civil, end, s, focus, impact, threat"
"innovation strategies electric mobility streetscooter case","learn tools methods can employed understand identify customer needs well processes companies can set place foster launch successful technological innovations special emphasis will placed analyzing companies can benefit entrepreneurial thinking innovate successfully understanding can build entire ecosystems around products services theoretical knowledge will transferred applied recent highly successful technological innovation germany streetscooter electric delivery vehicle deutsche post dhl self paced course consists eight consecutive parts course will provide depth understanding process technology innovation management specifically course will familiarize state art tools methods theories help understand may used solve organize complex innovation challenges placing special emphasis interdisciplinary thinking intersection management technology completing course will improve career qualifications business development manager change manager innovation manager professionals industries automotive information technology finance health care telecommunication energy sector already completed course ",18,"management, development, automotive, manager, can, finance, information technology, V349, health care, build, business, innovation, technology, delivery, tools, energy"
"sustainable energy","climate change urgent global challenge demanding engineering solutions large scale systems oriented coordination sustainable energy youâ ll join thousands global learners examining conventional renewable energy generation technologies studying deployed throughout world evaluating roles future energy landscape technologies include solar power wind power storage nuclear power hydropower bioenergy addition technological components youâ ll become familiar economic political social dimensions energy project planning professionals diverse backgrounds must work together determine pathways decarbonization amidst scientific uncertainty unique geopolitical challenges will presented advanced tools strategies explore pathways decarbonization specific contexts build consensus among stakeholders course instructed michael golay professor nuclear science engineering massachusetts institute technology additional experts various technologies will offer guest lectures including dr patrick brown national renewable energy labdr diane rigos mit energy initiativedr alex kalmikov independent consultantdr francis o sullivan orsted north americadr charles forsberg mit department nuclear science engineeringdr donald sadoway mit department materials science engineeringdr dennis whyte mit plasma science fusion centerdr zach hartwig mit plasma science fusion centerdr gregory stephanopoulos mit department chemical engineeringdr vrushank phadnis mit department mechanical engineeringdr jessika trancik mit institute data systems societythis course taught mit students remotely fall 2020 response covid 19 pandemic course image cover sustainable energy choosing among options second edition reprinted courtesy mit press ",130,"systems, engineering, project, data, storage, materials, V349, mechanical, scientific, build, technology, solutions, tools, energy"
"designing leading learning systems","pursuing goals ambitious teaching learning requires students teachers educational leaders learn work together new ways course engages learners exploring four leading logics educational innovation strategies approaches producing using knowledge improve educational practice outcomes scale across many classrooms schools systems logics include logics used successfully different types classrooms schools systems though also features traps pitfalls complicate universal usage understand potential pitfalls learners will apply logics analyzing exemplary cases large scale practice focused educational innovation us abroad deeper understandings logics learners will able strategic designing managing local innovation will also able identify external programs projects can serve effective partners innovation improvement course part leading educational innovation improvement micromasters program offered michiganx ",24,"systems, can, V349, innovation"
" u s government works get involved","feeling overwhelmed modern day politics looking get involved sure whereâ howâ start wondering can channel energy action make difference course led expert faculty georgetown university government works get involved offers refresher fundamentals american government context whatâ s happening right now youâ ll leave course tools need become engaged empowered citizen make voice heard course will cover range topics including structure function organization three branches government proven strategies influence government relationship government media american foreign policy u s citizens can actively participate shaping government u s government works get involved self paced course allows progress content speed successfully completing course will able ",27,"can, V349, voice, government, s, tools, energy"
"inspiring motivating arts culture teams","offered ross school business university michigan collaboration national arts strategies course focuses equipping leaders cultural sector critical skills inspiring employee engagement performance motivating people adjust behavior embrace change will learn create shared vision team effectively communicate teammates will also learn set effective goals expectations way best enables team attain shared vision finally will understand important needs drivers performance across cultures will learn align rewards desired behaviors teammates motivated attain teamâ s objectives motivation represents crucial challenge contemporary organizations recent gallup poll revealed 13 workers worldwide exhibit high levels engagement motivation will show motivation problems simply due â badâ â unmotivatedâ team member rather motivation much driven work conditions create teammates structure goals objectives reward people accomplishment goals course will help diagnose solve motivation problems can bring best people course features lessons university michigan ross school business faculty practitioners arts culture field leaders franci phelan kennedy center aaron dworkin um school music theatre dance tim cynova fractured atlas share stories effective leadership hr practices cultural sector ",20,"performance, leadership, can, V349, collaboration, hr, business, s, high"
"principles microeconomics economist way thinking","recent global economic non economic events highlighted importance informed well reasoned decision making resource allocation efficiency course focuses decision making units within economy e g consumers firms government departments make choices choices can made way makes best possible use limited available resources since life large part making choices course will help understand world way shed light might changed better firstly course equips think see world like economist topic areas include advancing knowledge comparative advantage opportunity cost next area supply demand focuses choices made market system economic system coordinates many rational choices self interested decision makers will explore application economic theory economic efficiency competitive markets well consumer producer surplus deadweight loss mooc part professional certificate microeconomics recommend explore two courses program competitive imperfectly competitive markets social microeconomics program based core microeconomics course taught campus university queensland don t wait enroll begin learning industry experts now interested pursuing economics uqx provides accompanying professional certificate macroeconomics program running parallel course building knowledge microeconomics additional program will provide strong foundation economics overall course everyone whether studying university career professional interested expanding economic knowledge simply curious global economic behaviour influences topics covered within course include ",9,"system, application, t, foundation, e, can, V349, rational, government, next, economics, based"
" system view communications signals packets part 1 "," ever wondered information transmitted using mobile phone wifi hotspot introductory course seeks enable understand basic engineering tools used tradeoffs encountered design communication systems course divided three parts part 1 examine point point link communicates information single transmitter single receiver part 2 examines multiple transmitters can share physical channel part 3 discusses information can transmitted reliably one station another network connects multiple stations online interactive exercises included help build intuition course inspired built upon course 6 02 digital communication systems developed mit prof bertram shi worked sabbatical 2009 course will ",35,"systems, network, engineering, communication, design, mobile, basic, can, V349, 3, build, digital, 2, wifi, 1, tools"
"invasions rebellions fall imperial china"," 18th century qing dynasty height wealthiest powerful civilized state earth yet 19th century brought enormous challenges qing place call china 20th century 2 000 year imperial tradition gone happened overview modern chinese history youâ ll learn qing forced engage west impact imperialism dynastic decline ultimately causes qing dynastyâ s fall course will cover effects opium qing responded epidemic opium war brought fundamental changes country youâ ll also learn introduction christianity period ideology chinese salvation time intellectuals wrestling new western ideas new western technologies course will help understand china engaged west confrontation still resonates today ",30,"V349, 2, s, impact"
"apâ english literature composition â part 3 plays"," course prepares read deeply write clearly works literature course will focus great pieces drama read interpret will discuss works william shakespeare edmond rostand engaging collection videos authentic readings support material variety sources will learn appreciate literature different genres will broaden vocabulary sharpen academic creative writing skills interaction students will help refine thinking reading writing well will learn write time pressure opportunity complete practice assignments similar will find ap examination prerequisites donâ t take ap exam join course want learn literature writing course ",31.5,"t, support, V349, ap, focus"
"cã³mo implantar grupos de mejora de procesos","cuando hacer las cosas bien es suficiente necesitamos convertir la mejora continua en un lema diario para todos los trabajadores de la empresa para ello necesitamos conocer tã cnicas que nos ayuden realizar esta tarea de manera mã s sistemã tica y eficiente para que por un lado tengamos mejores resultados y por otro nos dispersemos con las urgencias de un dã dã caã³tico en este curso de habilidades blandas enfocado en la mejora de procesos aprenderã s definir problemas oportunidades y convertirlas en un proyecto de mejora continua descubrirã s cã³mo construir un equipo de trabajo que se haga cargo de estos proyectos y conocerã s y practicaras diferentes tã cnicas para la resoluciã³n de problemas en grupo al finalizar el curso en lã nea serã s capaz de participar en grupos de resoluciã³n de problemas que sean capaces de mejorar la eficiencia de las organizaciones este mooc te darã herramientas de mejora continua que podrã s implementar dentro de tu organizaciã³n por medio del trabajo en grupo â definir problemas oportunidades y convertirlas en un proyecto de mejora â descubrir cã³mo construir un equipo que se haga cargo de la gestiã³n de los procesos de estos proyectos â conocer y practicar diferentes tã cnicas para la resoluciã³n de problemas en grupo â al finalizar el curso serã s capaz de participar en grupos de resoluciã³n de problemas que sean capaces de mejorar la eficiencia de las organizaciones",28,"V349, s"
"proteins biology s workforce","protein found virtually every part body least 10 000 different proteins make keep way biology course will learn proteins drive almost living processes proteins manufactured cells perform broad range essential functions â molecular workforce living organisms will learn proteins cellular manifestation genetic information assembled polymeric structure monomers derived part components diet proteins catalyze metabolic reactions replicate dna respond stimuli provide movement much using video lectures articles case studies molecular models will explore proteins constructed fold 3 dimensional shapes kinds bonds hold folded structures together immense range roles proteins assume â structural proteins found muscle catalysts cellular chemical reactions purification characterization essential understand protein structure function will identify variety methods uncover tiny machines drive almost living processes ",25,"video, genetic, V349, case, 3, biology, 10"
"introducciã³n los ritmos y relojes biolã³gicos","en este curso en lã nea aprenderã s sobre el reloj y el ritmo biolã³gico y su impacto en nuestra salud y en nuestro diario vivir el reloj biolã³gico es la respuesta del cuerpo humano fisiologã diferentes etapas del dã este reloj biolã³gico es aquel que le dice al cuerpo que debe estar despierto durante el dã y descansar en la noche losritmos biolã³gicoshan surgido en respuesta ala alternancia entre el dã y la noche y las estaciones la cronobiologã es la ciencia que estudia los ritmos biolã³gicos los cambios de nuestro reloj este curso en lã nea te ayudarã conocer tu reloj biolã³gico y el impacto que los factores externos tienen en ã l esto es importante ya que puede ayudarte mejorar tu calidad de vida acasoâ han sentido alguna vez que poseemos un reloj interno que nos despierta por la maã ana antes que suene el despertador â o que nos avisa cuando sentimos apetito y descubrimos que ya es hora de almorzar â o al sentirnos cansados tarde en la noche percibimos que necesitamos ir dormir estas y muchas otras actividades que realizamos diario sueã o apetito actividad reposo estudio trabajo etc como asã tambiã n procesos biolã³gicos que ocurren en nuestro organismo producciã³n de hormonas temperatura corporal metabolismo cambian rã tmicamente lo largo del dã estos cambios constituyen los ritmos biolã³gicos y aquellos que presentan un periodo cercano las 24 horas se denominanâ circadianosâ del latã n circa cercano diano dã losritmos biolã³gicoshan surgido en respuesta los cambios cã clicos del medio ambiente que nos rodea la alternancia dã noche las estaciones es por esto que los organismos vivos contamos con un sistema denominado sistema o ritmo circadiano que permite medir el tiempo internamente adaptarnos tales cambios ambientales que ocurren lo largo del dã y anticiparnos la llegada de los mismos efectivamente losrelojes biolã³gicosse encuentran distribuidos lo largo de todo el organismo estos relojes internos regulan diversas funciones fisiolã³gicas y conductuales con un periodo cercano las 24 horas pero exactamente de 24 horas por eso se hace necesario ajustarlos diariamente travã s de seã ales externas del medio ambiente luz temperatura alimentaciã³n etc la luz constituye la seã al externa mã s potente para sincronizar el reloj central ubicado en el cerebro una vez sincronizado este reloj envã seã ales al resto del organismo para coordinar las actividades de forma rã tmica ",28,"V349, etc., etc, s"
"linear algebra linear equations","systems equations live heart linear algebra course will explore fundamental concepts exploring definitions theorems give basis subject start course introduce systems linear equations systematic method solving algorithm will used computations throughout course investigate applications linear algebra complex algorithms analyzing later course will later see system linear equations can represented ways can reduce problems involving linear combinations vectors approaches involve systems linear equations towards end course explore linear independence linear transformations essential role throughout course applications linear algebra many areas industry science engineering upon completion course learners will able ",16.5,"systems, system, engineering, applications, algorithms, can, algorithm, V349, end"
"fundamentals biomedical imaging ultrasounds x ray positron emission tomography pet applications"," physics course covers physical principles major vivo bio imaging modalities different imaging techniques short study ultrasound imaging will learn different x ray imaging techniques understanding interaction x rays tissue will lead study three different techniques course shows existing physical principles transcend bio imaging establish important link life sciences illustrating contributions physics can make life sciences practical examples will shown illustrate respective imaging modality use premise limitations biological safety will touched upon course will develop good understanding mechanisms leading tissue contrast bio imaging modalities covered course including inner workings scanner define range possible biomedical applications will able judge imaging modality adequate specific life science needs understand limits promises modality learn biomedical imaging join us second part course biomedical imaging magnetic resonance imaging mri ",31.5,"applications, can, V349, lead, physics, develop"
"fundamentos de electromagnetismo para ingenierã ","en este curso se investigan las causas y se definen las leyes de la interacciã³n electromagnã tica esta interacciã³n es una de las mã s importantes que caracterizan nuestra vida diaria ya que muchos de los fenã³menos que se observan nuestro alrededor incluidos los quã micos y biolã³gicos son debidos la interacciã³n electromagnã tica entre ã tomos y molã culas este curso se centra en analizar el origen de esta interacciã³n y describir las leyes fã sicas que la gobiernan aprenderã s las bases de ",31.5,"V349, s"
"sustainable food systems mediterranean perspective"," mediterranean region one biodiverse world home complex intricate patchwork cultures climates cuisines food systems region represented worldwide mediterranean diet equally complex demanding analysis across political social cultural economic nutritional spectrums landscape table ability mediterranean agriculture sustain peoples planet now threatened several issues course discusses challenges opportunities agricultural sector mediterranean basin summarizes global local challenges related achievement sustainable development goals sdg outlines history culture agriculture main characteristics focus mediterranean diet explains agricultural data focus rural development models value creation explores eu policy frameworks international agreements related food agriculture mediterranean highlights emerging opportunities linked innovation sustainability sector course want learn sustainable food nutrition around world check sdg academy course feeding hungry planet agriculture nutrition sustainability additional educational resources developed food agriculture organization united nations fao provided module ",30,"development, systems, analysis, data, V349, innovation, focus, frameworks"
"scripting programming foundations","computer programs abundant many people s lives today carrying applications smartphones tablets laptops powering businesses helping cars drive planes fly much course introduces computational thinking algorithms sequence instructions solves problem computational mathematical thinking became increasingly important throughout industrial age enable people successfully live work information age computational thinking algorithms will continue increasingly critical work everyday life beyond business personal computing devices pcs tablets smartphones embedded computers exist invisibly nearly anything electrical today e g tvs cars printers thermostats satellites etc require scripting programming instructions perform efficiently course will learn following concepts ",76,"applications, computer, algorithms, embedded, e, programming, V349, etc., scripting, printers, etc, business, s"
